2007/08/25,livorno,1-0,serie a,2007-08,trezeguet,del piero,vno3IDJ
2007/08/25,livorno,2-0,serie a,2007-08,iaquinta,penalty,vYlnMkW
2007/08/25,livorno,3-0,serie a,2007-08,iaquinta,nedved,gMq1F6V
2007/08/25,livorno,4-0,serie a,2007-08,trezeguet,iaquinta,lqz0Lvt
2007/08/25,livorno,5-0,serie a,2007-08,trezeguet,,TOKN4mg
2007/08/29,parma,1-0,coppa,2007-08,molinaro,chiellini,
2007/08/29,parma,2-0,coppa,2007-08,almiron,,
2007/08/29,parma,3-1,coppa,2007-08,salihamidzic,,
2007/09/02,cagliari,1-0,serie a,2007-08,trezeguet,camoranesi,
2007/09/02,cagliari,2-1,serie a,2007-08,del piero,camoranesi,
2007/09/02,cagliari,3-2,serie a,2007-08,chiellini,camoranesi,
2007/09/23,roma,1-0,serie a,2007-08,trezeguet,iaquinta,
2007/09/23,roma,2-2,serie a,2007-08,iaquinta,chiellini,
2007/09/27,reggina,1-0,serie a,2007-08,legrottaglie,nocerino,
2007/09/26,reggina,2-0,serie a,2007-08,salihamidzic,trezeguet,
2007/09/26,reggina,3-0,serie a,2007-08,trezeguet,zanetti,
2007/09/26,reggina,4-0,serie a,2007-08,palladino,nocerino,
2007/09/30,torino,1-0,serie a,2007-08,trezeguet,,
2007/10/07,fiorentina,1-0,serie a,2007-08,iaquinta,,
2007/10/21,genoa,1-0,serie a,2007-08,del piero,nedved,
2007/10/27,napoli,1-0,serie a,2007-08,del piero,palladino,
2007/10/31,empoli,1-0,serie a,2007-08,trezeguet,penalty,
2007/10/31,empoli,2-0,serie a,2007-08,trezeguet,tiago,
2007/10/31,empoli,3-0,serie a,2007-08,trezeguet,salihamidzic,
2007/11/04,inter,1-1,serie a,2007-08,camoranesi,iaquinta,
2007/11/11,parma,1-2,serie a,2007-08,legrottaglie,tiago,
2007/11/11,parma,2-2,serie a,2007-08,iaquinta,trezeguet,
2007/11/25,palermo,1-0,serie a,2007-08,trezeguet,,
2007/11/25,palermo,2-0,serie a,2007-08,iaquinta,,
2007/11/25,palermo,3-0,serie a,2007-08,del piero,nedved,
2007/11/25,palermo,4-0,serie a,2007-08,marchionni,del piero,
2007/11/25,palermo,5-0,serie a,2007-08,del piero,penalty,
2007/12/06,empoli,1-2,coppa,2007-08,iaquinta,,
2007/12/09,atalanta,1-0,serie a,2007-08,nedved,,
2007/12/15,lazio,1-0,serie a,2007-08,trezeguet,salihamidzic,
2007/12/15,lazio,2-1,serie a,2007-08,del piero,zanetti,
2007/12/15,lazio,3-1,serie a,2007-08,del piero,salihamidzic,
2007/12/23,siena,1-0,serie a,2007-08,salihamidzic,trezeguet,
2007/12/23,siena,2-0,serie a,2007-08,trezeguet,tiago,
2008/01/12,catania,1-1,serie a,2007-08,del piero,penalty,
2008/01/15,empoli,1-0,coppa,2007-08,marchionni,,
2008/01/15,empoli,2-0,coppa,2007-08,nedved,,
2008/01/15,empoli,3-2,coppa,2007-08,iaquinta,,
2008/01/15,empoli,4-3,coppa,2007-08,iaquinta,,
2008/01/15,empoli,5-3,coppa,2007-08,del piero,penalty,
2008/01/23,inter,1-2,coppa,2007-08,del piero,trezeguet,
2008/01/23,inter,2-2,coppa,2007-08,boumsong,palladino,
2008/01/27,livorno,1-0,serie a,2007-08,trezeguet,zanetti,
2008/01/27,livorno,2-0,serie a,2007-08,del piero,nedved,
2008/01/27,livorno,3-0,serie a,2007-08,trezeguet,del piero,
2008/01/30,inter,1-1,coppa,2007-08,del piero,freekick,
2008/01/30,inter,2-1,coppa,2007-08,iaquinta,,
2008/02/03,cagliari,1-1,serie a,2007-08,nedved,tiago,
2008/02/10,udinese,1-1,serie a,2007-08,camoranesi,del piero,
2008/02/10,udinese,2-1,serie a,2007-08,iaquinta,nedved,
2008/02/16,roma,1-0,serie a,2007-08,del piero,freekick,
2008/02/23,reggina,1-1,serie a,2007-08,del piero,zanetti,
2008/03/02,fiorentina,1-1,serie a,2007-08,sissoko,,
2008/03/02,fiorentina,2-1,serie a,2007-08,camoranesi,molinaro,
2008/03/09,genoa,1-0,serie a,2007-08,grygera,salihamidzic,
2008/03/09,genoa,2-0,serie a,2007-08,trezeguet,grygera,
2008/03/16,napoli,1-0,serie a,2007-08,iaquinta,del piero,
2008/03/22,inter,1-0,serie a,2007-08,camoranesi,chiellini,
2008/03/22,inter,2-0,serie a,2007-08,trezeguet,salihamidzic,
2008/04/06,palermo,1-2,serie a,2007-08,del piero,camoranesi,
2008/04/06,palermo,2-2,serie a,2007-08,del piero,,
2008/04/12,milan,1-0,serie a,2007-08,del piero,camoranesi,
2008/04/12,milan,2-2,serie a,2007-08,salihamidzic,,
2008/04/12,milan,3-2,serie a,2007-08,salihamidzic,camoranesi,
2008/04/16,parma,1-0,serie a,2007-08,trezeguet,del piero,
2008/04/16,parma,2-0,serie a,2007-08,palladino,,
2008/04/16,parma,3-0,serie a,2007-08,own goal,morrone,
2008/04/20,atalanta,1-0,serie a,2007-08,legrottaglie,del piero,
2008/04/20,atalanta,2-0,serie a,2007-08,del piero,trezeguet,
2008/04/20,atalanta,3-0,serie a,2007-08,del piero,zanetti,
2008/04/20,atalanta,4-0,serie a,2007-08,del piero,trezeguet,
2008/04/27,lazio,1-0,serie a,2007-08,chiellini,camoranesi,
2008/04/27,lazio,2-0,serie a,2007-08,camoranesi,zanetti,
2008/04/27,lazio,3-0,serie a,2007-08,del piero,zanetti,
2008/04/27,lazio,4-0,serie a,2007-08,trezeguet,camoranesi,
2008/04/27,lazio,5-2,serie a,2007-08,chiellini,,
2008/05/11,catania,1-1,serie a,2007-08,del piero,chiellini,
2008/05/17,sampdoria,1-0,serie a,2007-08,del piero,nedved,
2008/05/17,sampdoria,2-0,serie a,2007-08,trezeguet,penalty,
2008/05/17,sampdoria,3-2,serie a,2007-08,del piero,penalty,
